300K to 150K,5K/min,,,,,,100K to 380K,5K/min,,,,,,380K to 300K,5K/min,,,,,,300K to 100K,14K/min,,,,,,100K to 300K,15K/min,,,,
Time Stamp (sec),Temperature (K),Bridge 1 Resistivity (Ohm-m),Bridge 1 Excitation (uA),Bridge 1 Std. Dev. (Ohm-m),Bridge 1 Resistance (Ohms),,Time Stamp (sec),Temperature (K),Bridge 1 Resistivity (Ohm-m),Bridge 1 Excitation (uA),Bridge 1 Std. Dev. (Ohm-m),Bridge 1 Resistance (Ohms),,Time Stamp (sec),Temperature (K),Bridge 1 Resistivity (Ohm-m),Bridge 1 Excitation (uA),Bridge 1 Std. Dev. (Ohm-m),Bridge 1 Resistance (Ohms),,Time Stamp (sec),Temperature (K),Bridge 1 Resistivity (Ohm-m),Bridge 1 Excitation (uA),Bridge 1 Std. Dev. (Ohm-m),Bridge 1 Resistance (Ohms),,Time Stamp (sec),Temperature (K),Bridge 1 Resistivity (Ohm-m),Bridge 1 Excitation (uA),Bridge 1 Std. Dev. (Ohm-m),Bridge 1 Resistance (Ohms)
,,,,,,,14582956.88,271.1278992,0.013370104,9.989999771,7.98E-05,13.37010368,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14582981.06,273.1380463,0.013498302,9.989999771,3.14E-05,13.49830173,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14583005.13,275.1838989,0.013547699,9.989999771,5.73E-05,13.54769894,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14583029.78,277.1930389,0.013723031,9.989999771,2.77E-05,13.72303055,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14583052.23,279.1038361,0.013885713,9.989999771,1.89E-05,13.8857127,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14583076.39,281.0995483,0.014056261,9.989999771,2.52E-05,14.05626053,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14583101.06,283.1493988,0.014222264,9.989999771,3.09E-05,14.22226368,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14583124.97,285.1434479,0.014292487,9.989999771,3.55E-05,14.29248684,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14583147.98,287.0839081,0.014506651,9.989999771,4.28E-05,14.50665108,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14583172.23,289.0643921,0.014681224,9.989999771,2.42E-05,14.68122368,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14583196.66,291.0915527,0.014769224,9.989999771,1.48E-05,14.76922386,,,,,,,,,,,,,,,,,,,,,
