PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1557457899,,5.00E+01,2.53E+02,1.55E-06,5.28E-09,-4.62E-02,9.83E-03,3,8.96E-01,1.83E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.50E+00,2,2,1.60E+00,0,,0
1557457915,,5.00E+01,2.51E+02,1.54E-06,1.69E-08,-5.07E-02,3.52E-03,3,8.90E-01,1.83E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.50E+00,2,2,1.45E+00,0,,0
1557457928,,5.00E+01,2.49E+02,1.56E-06,2.15E-09,-4.35E-02,1.77E-03,3,8.97E-01,1.83E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.50E+00,2,2,1.30E+00,0,,0
1557457943,,5.00E+01,2.48E+02,1.56E-06,1.27E-08,-3.20E-02,1.34E-03,3,8.94E-01,1.83E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.50E+00,2,2,1.30E+00,0,,0
1557457957,,5.00E+01,2.46E+02,1.53E-06,1.17E-08,-3.22E-02,1.26E-03,3,9.08E-01,1.83E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.50E+00,2,2,1.63E+00,0,,0
1557457972,,5.00E+01,2.44E+02,1.55E-06,2.46E-08,-3.82E-02,1.10E-02,3,9.11E-01,1.83E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.50E+00,2,2,1.51E+00,0,,0
1557457985,,5.00E+01,2.42E+02,1.56E-06,1.97E-09,-4.04E-02,1.47E-03,3,9.13E-01,1.83E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.50E+00,2,2,1.36E+00,0,,0
1557458001,,5.00E+01,2.40E+02,1.56E-06,2.96E-08,-3.49E-02,5.40E-03,3,9.06E-01,1.83E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.50E+00,2,2,1.53E+00,0,,0
1557458017,,5.00E+01,2.38E+02,1.54E-06,3.04E-08,-3.66E-02,5.43E-03,3,8.92E-01,1.83E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.50E+00,2,2,1.39E+00,0,,0
1557458033,,5.00E+01,2.36E+02,1.54E-06,2.96E-08,-4.15E-02,1.14E-02,3,8.90E-01,1.83E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.50E+00,2,2,1.59E+00,0,,0
1557458047,,5.00E+01,2.34E+02,1.58E-06,5.44E-08,-4.47E-02,6.08E-03,3,8.99E-01,1.83E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.50E+00,2,2,1.80E+00,0,,0
1557458063,,5.00E+01,2.32E+02,1.59E-06,1.84E-08,-3.71E-02,1.13E-02,3,8.91E-01,1.83E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.50E+00,2,2,1.48E+00,0,,0
1557458078,,5.00E+01,2.30E+02,1.58E-06,6.26E-08,-3.38E-02,1.54E-02,3,9.11E-01,1.83E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.50E+00,2,2,1.66E+00,0,,0
1557458092,,5.00E+01,2.28E+02,1.55E-06,2.17E-08,-2.52E-02,1.13E-02,3,9.08E-01,1.83E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.50E+00,2,2,1.54E+00,0,,0
1557458107,,5.00E+01,2.26E+02,1.57E-06,8.88E-09,-4.32E-02,6.73E-03,3,8.96E-01,1.83E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.50E+00,2,2,1.55E+00,0,,0
1557458123,,5.00E+01,2.24E+02,1.55E-06,2.13E-08,-3.70E-02,1.92E-03,3,9.11E-01,1.83E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.50E+00,2,2,1.75E+00,0,,0
1557458138,,5.00E+01,2.21E+02,1.57E-06,6.55E-09,-2.80E-02,5.71E-03,3,9.06E-01,1.83E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.50E+00,2,2,1.53E+00,0,,0
1557458153,,5.00E+01,2.19E+02,1.56E-06,4.73E-09,-4.61E-02,3.42E-03,3,9.08E-01,1.83E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.50E+00,2,2,1.38E+00,0,,0
1557458168,,5.00E+01,2.17E+02,1.55E-06,8.80E-09,-3.78E-02,9.38E-04,3,9.01E-01,1.83E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.50E+00,2,2,1.57E+00,0,,0
1557458182,,5.00E+01,2.15E+02,1.57E-06,9.10E-09,-4.22E-02,8.76E-03,3,9.03E-01,1.83E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.50E+00,2,2,1.59E+00,0,,0
1557458199,,5.00E+01,2.13E+02,1.54E-06,2.51E-08,-3.63E-02,4.02E-03,3,9.03E-01,1.83E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.50E+00,2,2,1.78E+00,0,,0
1557458214,,5.00E+01,2.10E+02,1.58E-06,1.39E-08,-2.96E-02,9.02E-03,3,9.15E-01,1.83E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.50E+00,2,2,1.63E+00,0,,0
1557458229,,5.00E+01,2.08E+02,1.57E-06,1.43E-08,-3.13E-02,3.52E-03,3,9.19E-01,1.83E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.50E+00,2,2,1.66E+00,0,,0
