光学クライオスタット 300K→50K (180806; 1K/min),,光学クライオスタット 50K→300K (180806; 1K/min),,,PPMS 300K→100K (180709; 2K/min),,PPMS 100K→300K (180709; 2K/min),
263.76,0.03318,85.4,0.021283,,347.7229462,0.031539513,153.1243515,0.024343557
263.58,0.032928,85.576,0.021202,,347.4029541,0.031723239,153.3809509,0.024648
263.41,0.032978,85.753,0.021113,,347.0292511,0.031610536,153.6258011,0.024791175
263.23,0.033119,85.93,0.021031,,346.6513519,0.031563182,153.8927002,0.024702221
263.06,0.032676,86.108,0.021233,,346.3078461,0.031548677,154.1383514,0.024844593
262.88,0.032987,86.286,0.021313,,346.0482483,0.031420729,154.402298,0.024761025
262.7,0.032918,86.464,0.021344,,345.839798,0.031445579,154.6503525,0.024778456
262.53,0.032706,86.64,0.021192,,345.638092,0.031214684,154.9127045,0.024802265
262.35,0.032998,86.816,0.021253,,345.3891449,0.03132568,155.1707458,0.025058267
262.17,0.032785,86.992,0.021273,,345.1554565,0.031433449,155.4669037,0.024909944
262,0.032715,87.17,0.021424,,344.8570557,0.031386012,155.7219009,0.025281792
261.82,0.032786,87.347,0.021494,,344.584198,0.031119211,156.0166016,0.024993186
261.64,0.032736,87.523,0.021404,,344.3075409,0.03128215,156.2753983,0.02475016
261.46,0.032967,87.697,0.021283,,344.0538483,0.031226053,156.5215454,0.025097048
261.29,0.032817,87.873,0.021656,,343.8292542,0.031378374,156.7725983,0.024874801
261.11,0.032667,88.05,0.021595,,343.6334991,0.031233685,157.0356979,0.025161962
260.93,0.032594,88.229,0.021535,,343.3985443,0.031160723,157.278801,0.025370822
260.76,0.032716,88.406,0.021645,,343.1653595,0.031121755,157.5495529,0.025216948
260.58,0.032422,88.586,0.021625,,342.8743591,0.031113374,157.8041,0.025394757
260.4,0.032605,88.767,0.021655,,342.6082916,0.030925467,158.0686569,0.02527957
260.23,0.032422,88.947,0.021696,,342.3515015,0.031044642,158.3132553,0.025104853
